tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1945473744606269895',"そんな感じだから…

夏休みの予定はとくになんにもないです！

以上
#いきづらい部",ja,Tweet,8,1082,159,5,55314,2025-07-16 22:21:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1945472990142988575',"今さら高速バス探すとか気が重い
ボク暑さに弱いし
#いきづらい部",ja,Tweet,14,1143,188,8,79280,2025-07-16 22:18:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1945472234979541423',"だって制服担当として一緒に頑張ろうとか
ボクの制服コレクションを見るのが楽しみすぎるとか
ボクの制服コーデのセンスがいいとかスゴイ似合ってるとか
いろいろ…

なんかいろいろ言ってくるから！！
#いきづらい部",ja,Tweet,13,1261,184,4,58086,2025-07-16 22:15:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1945471480164221229',"ボクあの時無理だと思うって
言ったじゃん

なんかローラが途中で割って入ったせいで
うやむやになった感は否めないけど！
#いきづらい部",ja,Tweet,6,958,135,1,46916,2025-07-16 22:12:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1945470725235900583',"本当に本当に本気？
#いきづらい部",ja,Tweet,10,978,134,1,48254,2025-07-16 22:09:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1945469970466611525',"え　無理
リアルで集合とか
#いきづらい部",ja,Tweet,31,2232,388,9,164118,2025-07-16 22:06:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1942233392822595605',"みんなの願いが叶いますように⭐
#いきづらい部 #七夕",ja,Tweet,13,1142,179,9,38697,2025-07-07 23:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#いきづらい部,#七夕",,,
'1942226094637404380',"今度一緒に食べてみる？
大好きだよ❤
#いきづらい部",ja,Tweet,9,942,129,1,38896,2025-07-07 23:16:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1942225339456929976',"親の目を避けて１人でこっそり夜中のキッチンで麵をゆでて１分か２分
ザルに水道水で粗熱とったら、そのままお椀に入れてめんつゆかけて食べちゃう
５分で終了
#いきづらい部",ja,Tweet,25,1226,204,5,55110,2025-07-07 23:13:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1942224584499192109',"七夕は五色そうめん
そうめんっていいよね
すぐゆで上がるもん
#いきづらい部",ja,Tweet,8,847,126,4,28318,2025-07-07 23:10:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1942223829436448932',"普通に考えて全国的にも有名なお祭りだし、みんなは楽しいって言ってるし
ただボクは家でそうめんでも食べてればそれでいいかなって
#いきづらい部",ja,Tweet,8,911,117,1,46418,2025-07-07 23:07:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1942223075124420924',"あ
でも来たいって言うなら止めないよ？
#いきづらい部",ja,Tweet,5,859,105,2,36195,2025-07-07 23:04:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1942222320421978137',"まぁべつにいいんだけど
そもそもお祭りなんて混むから行きたくないし
誰かにあったら面倒だし
#いきづらい部",ja,Tweet,5,850,114,2,32415,2025-07-07 23:01:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1942221564751008044',"いやいやいや
仙台の七夕は８月だから！
#いきづらい部",ja,Tweet,33,1982,513,13,117978,2025-07-07 22:58:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1940697023977869687',"せめて夜になって少し涼しくなってから行くか…

ヘッドホンで音楽を聴きながら夜道を歩くのが好き
今日のリストはなんとなくキラキラ系かな
本当は輝く夜景とか見れたらいいんだけど

いつかみんなと一緒にね
大好きだよ❤
#いきづらい部",ja,Tweet,9,1311,181,9,48788,2025-07-03 18:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1940696264271974737',"あー！
それにしても暑い日って何もする気がしなくなる
だるいし
こんなとき学校に行かないでいいのは最高だけど家の冷凍庫のアイスのストックが尽きたのは最悪
#いきづらい部",ja,Tweet,8,1078,136,4,42907,2025-07-03 17:57:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1940695508986814667',"今からそんなに頑張らなくてもいいんですよ～
太陽さ～ん！！💀

ボクみたいにもう少しお布団かぶってのんびりしてたらいいのにね
おねぼう仲間歓迎❤
#いきづらい部",ja,Tweet,8,1054,167,4,45423,2025-07-03 17:54:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
