tweet_id,text,author_id ,type,created_at,hashtags,urls,media_type,media_urls
'1955444694844072232',"翔音！

フフ、よかった、無事について🥰💖
長旅おつかれさま
酔ったりしなかった？
制服似合ってる👑
ここからは私がエスコートするから任せて🎩✨
#いきづらい部",7,Tweet,2025/8/13 10:42,#いきづらい部,,,
'1955443939965891034',"あ
そろそろ着いたかな？
#いきづらい部",7,Tweet,2025/8/13 10:39,#いきづらい部,,,
'1955443184940748874',"幕が上がった瞬間に🪄
絢爛な舞台との出会いに胸をときめかせる客席と
期待に胸が高鳴る観客の視線に背筋を伸ばす舞台の上🎩✨

出会うっていう意味ではどちらも同じなのかもしれないね🎁
#いきづらい部",7,Tweet,2025/8/13 10:36,#いきづらい部,,,
'1955442429978611899',"これって少しだけ
ステージの幕が上がる前の心境に似てる気がする🥰

ステージの分厚い緞帳の向こう側にいてもこっち側にいても
きっと同じようにドキドキしてる💘✨
#いきづらい部",7,Tweet,2025/8/13 10:33,#いきづらい部,,,
'1955441676077375806',"人を待つ時間が意外と好きだなっていうことに今日気が付いた🎩✨
待っている間はドキドキとワクワクと
ほんの少しのソワソワと💝✨

でもやっぱり待っているその先に必ずいいことがあるって分かっているから…
やっぱり楽しい🎩🪄
#いきづらい部",7,Tweet,2025/8/13 10:30,#いきづらい部,,,
'1952301735420235792',"せっかくみんなが来てくれるから、スケジュールが許す限り関西っぽいいろんなことをしたいなと思うけれど…
やっぱり私は🎩✨
あちこち遊びに行くよりも、みんなでスクールアイドルの活動をめいっぱい頑張りたいかな💘
#いきづらい部",7,Tweet,2025/8/4 18:33,#いきづらい部,,,
'1952300980298530930',"そうして…新大阪まで帰ってくると
もう駅ナカでソースとお出汁の香りに出会って、またホッとしたりして🎩✨
旅に出ると自分でも思ってる以上に
Homeのありがたみを感じることを再発見🥰
#いきづらい部",7,Tweet,2025/8/4 18:30,#いきづらい部,,,
'1952300225084682597',"地下街には全国各地のグルメがいっぱいあって
それも毎回楽しみなんだけれど🎁✨
その一角にじつは神戸でもお気に入りのチョコレート屋さんがあって、つい寄っちゃったり🩰✨
遠い街で地元のお店に会ってちょっと嬉しい気持ちになるのかな🥰
#いきづらい部",7,Tweet,2025/8/4 18:27,#いきづらい部,,,
'1952299470357422424',"私は東京駅に着くと、新幹線の改札を出たとたんに広がる駅の施設の大きさと、人の多さに毎回圧倒されちゃう👑
分かってはいても、やっぱり大きい！
東京駅🚉
#いきづらい部",7,Tweet,2025/8/4 18:24,#いきづらい部,,,
'1952298715387142610',"私が新幹線に乗る時はたいてい東京に行くときだったから
東京からのチケット相談はなんだか新鮮🎩🪄
ポルカちゃん無事に発券できたかな？
#いきづらい部",7,Tweet,2025/8/4 18:21,#いきづらい部,,,
